Model,Year_of_Manufacture,Number_of_Engines,Engine_Type,Capacity,Range_(km),Fuel_Consumption_(L/hour),Hourly_Maintenance_Cost_($),Age,Sales_Region,Price_($),Company,Age_Group,HMC_per_person,Engine_Power_Factor,Price_per_Seat,Seats_per_Engine,Company_Popularity,FuelCost_Maint_Index,Engine_to_Capacity
Boeing 737,1986,2,Turbofan,162,5700,3.24,1582.02,39,Asia,63512234.71,Boeing,30-40,9.765555555555556,12,392050.8315432099,81.0,4132,19.060200000000002,0.012345679012345678
Boeing 777,2022,2,Turbofan,396,15600,6.25,3387.7,3,Europe,719081307.76,Boeing,0-10,8.554797979797979,12,1815861.8882828283,198.0,4132,40.126999999999995,0.005050505050505051
Bombardier CRJ200,1996,2,Turbofan,50,3000,2.79,3606.17,29,Africa,12419477.96,Bombardier,20-30,72.1234,12,248389.55920000002,25.0,2051,38.8517,0.04
Airbus A320,1997,2,Turbofan,180,6300,14.17,4934.73,28,North America,80884229.85,Airbus,20-30,27.415166666666664,12,449356.83249999996,90.0,4155,63.5173,0.011111111111111112
Airbus A350,1984,2,Turbofan,350,14800,7.19,2102.89,41,South America,350398505.96,Airbus,40+,6.0082571428571425,12,1001138.5884571428,175.0,4155,28.2189,0.005714285714285714
Boeing 777,1984,2,Turbofan,396,15600,3.54,1913.07,41,Africa,413313530.76,Boeing,40+,4.8309848484848485,12,1043721.0372727272,198.0,4132,22.6707,0.005050505050505051
Boeing 777,1999,2,Turbofan,396,15600,9.18,2546.99,26,Africa,382264581.91,Boeing,20-30,6.431792929292929,12,965314.6007828284,198.0,4132,34.6499,0.005050505050505051
Boeing 737,1981,2,Turbofan,162,5700,8.14,768.53,44,North America,75495522.26,Boeing,40+,4.744012345679012,12,466021.742345679,81.0,4132,15.8253,0.012345679012345678
Boeing 777,1991,2,Turbofan,396,15600,13.11,2825.42,34,Australia,383732726.97,Boeing,30-40,7.13489898989899,12,969022.0378030303,198.0,4132,41.3642,0.005050505050505051
Boeing 737,1988,2,Turbofan,162,5700,6.05,1441.23,37,South America,64680492.92,Boeing,30-40,8.896481481481482,12,399262.3019753086,81.0,4132,20.4623,0.012345679012345678
Cessna 172,2018,1,Piston,4,1285,28.28,1023.83,7,Asia,385073.85,Cessna,0-10,255.9575,1,96268.4625,4.0,2039,38.5183,0.25
Boeing 777,1987,2,Turbofan,396,15600,10.88,3838.47,38,Asia,411671324.66,Boeing,30-40,9.69310606060606,12,1039574.0521717173,198.0,4132,49.264700000000005,0.005050505050505051
Boeing 777,2001,2,Turbofan,396,15600,4.8,4324.6,24,North America,467222096.97,Boeing,20-30,10.920707070707072,12,1179853.7802272728,198.0,4132,48.046,0.005050505050505051
Boeing 737,1991,2,Turbofan,162,5700,6.51,1271.79,34,South America,65540053.56,Boeing,30-40,7.850555555555555,12,404568.23185185186,81.0,4132,19.227899999999998,0.012345679012345678
Airbus A320,2017,2,Turbofan,180,6300,12.15,4865.46,8,Asia,144838459.87,Airbus,0-10,27.030333333333335,12,804658.1103888889,90.0,4155,60.8046,0.011111111111111112
Airbus A320,1983,2,Turbofan,180,6300,8.37,2319.47,42,North America,64985729.88,Airbus,40+,12.885944444444444,12,361031.83266666665,90.0,4155,31.564699999999995,0.011111111111111112
Boeing 777,2015,2,Turbofan,396,15600,5.63,2098.25,10,South America,741189873.96,Boeing,0-10,5.298611111111111,12,1871691.600909091,198.0,4132,26.6125,0.005050505050505051
Boeing 737,2015,2,Turbofan,162,5700,4.02,4432.81,10,South America,113948418.53,Boeing,0-10,27.363024691358028,12,703385.2995679013,81.0,4132,48.3481,0.012345679012345678
Bombardier CRJ200,2014,2,Turbofan,50,3000,5.31,4202.85,11,North America,21560759.75,Bombardier,10-20,84.057,12,431215.195,25.0,2051,47.3385,0.04
Cessna 172,2022,1,Piston,4,1285,17.88,2545.27,3,North America,412125.22,Cessna,0-10,636.3175,1,103031.305,4.0,2039,43.3327,0.25
Boeing 737,2005,2,Turbofan,162,5700,8.15,1219.41,20,Asia,84209912.13,Boeing,10-20,7.527222222222223,12,519814.2724074074,81.0,4132,20.3441,0.012345679012345678
Boeing 777,2006,2,Turbofan,396,15600,13.64,3865.25,19,Asia,539491368.36,Boeing,10-20,9.760732323232324,12,1362351.9403030304,198.0,4132,52.292500000000004,0.005050505050505051
Bombardier CRJ200,2001,2,Turbofan,50,3000,14.09,843.32,24,North America,14511039.72,Bombardier,20-30,16.866400000000002,12,290220.7944,25.0,2051,22.523200000000003,0.04
Bombardier CRJ200,1983,2,Turbofan,50,3000,11.3,840.8,42,Europe,11858461.41,Bombardier,40+,16.816,12,237169.2282,25.0,2051,19.708,0.04
Boeing 737,1986,2,Turbofan,162,5700,14.96,3810.6,39,South America,59750509.05,Boeing,30-40,23.522222222222222,12,368830.3027777778,81.0,4132,53.066,0.012345679012345678
Boeing 737,1986,2,Turbofan,162,5700,6.77,3007.62,39,Africa,71952220.35,Boeing,30-40,18.565555555555555,12,444149.5083333333,81.0,4132,36.846199999999996,0.012345679012345678
Boeing 737,2010,2,Turbofan,162,5700,5.23,1382.08,15,North America,96377139.01,Boeing,10-20,8.531358024691357,12,594920.6111728395,81.0,4132,19.050800000000002,0.012345679012345678
Airbus A350,2014,2,Turbofan,350,14800,13.87,4577.72,11,Asia,519643637.09,Airbus,10-20,13.0792,12,1484696.1059714286,175.0,4155,59.6472,0.005714285714285714
Boeing 777,1990,2,Turbofan,396,15600,3.04,746.44,35,South America,365137289.42,Boeing,30-40,1.8849494949494952,12,922063.8621717172,198.0,4132,10.5044,0.005050505050505051
Cessna 172,1995,1,Piston,4,1285,25.54,927.0,30,Asia,195555.17,Cessna,20-30,231.75,1,48888.7925,4.0,2039,34.81,0.25
Boeing 777,1990,2,Turbofan,396,15600,9.52,3144.76,35,Europe,317190219.76,Boeing,30-40,7.941313131313132,12,800985.4034343434,198.0,4132,40.967600000000004,0.005050505050505051
Bombardier CRJ200,2016,2,Turbofan,50,3000,12.74,3679.05,9,Australia,21899503.83,Bombardier,0-10,73.581,12,437990.0766,25.0,2051,49.5305,0.04
Boeing 737,2020,2,Turbofan,162,5700,3.11,2058.23,5,Asia,110377045.88,Boeing,0-10,12.705123456790124,12,681339.7893827161,81.0,4132,23.6923,0.012345679012345678
Airbus A350,1993,2,Turbofan,350,14800,4.03,2603.11,32,Australia,356669376.68,Airbus,30-40,7.437457142857143,12,1019055.3619428572,175.0,4155,30.061100000000003,0.005714285714285714
Bombardier CRJ200,1988,2,Turbofan,50,3000,4.87,2582.8,37,Europe,10567337.61,Bombardier,30-40,51.656000000000006,12,211346.7522,25.0,2051,30.698000000000004,0.04
Bombardier CRJ200,2023,2,Turbofan,50,3000,13.3,504.46,2,South America,24649461.51,Bombardier,0-10,10.0892,12,492989.23020000005,25.0,2051,18.3446,0.04
Airbus A320,2006,2,Turbofan,180,6300,3.29,3521.88,19,Asia,114623795.25,Airbus,10-20,19.566,12,636798.8625,90.0,4155,38.5088,0.011111111111111112
Bombardier CRJ200,2013,2,Turbofan,50,3000,7.45,2630.11,12,North America,22390811.48,Bombardier,10-20,52.6022,12,447816.2296,25.0,2051,33.7511,0.04
Cessna 172,1992,1,Piston,4,1285,19.81,4491.81,33,Africa,178433.09,Cessna,30-40,1122.9525,1,44608.2725,4.0,2039,64.7281,0.25
Cessna 172,1995,1,Piston,4,1285,46.66,3970.4,30,Asia,192713.95,Cessna,20-30,992.6,1,48178.4875,4.0,2039,86.364,0.25
Airbus A350,1993,2,Turbofan,350,14800,12.37,4324.02,32,South America,384922929.43,Airbus,30-40,12.354342857142859,12,1099779.7983714286,175.0,4155,55.610200000000006,0.005714285714285714
Bombardier CRJ200,2004,2,Turbofan,50,3000,12.95,4477.3,21,Europe,15262960.11,Bombardier,20-30,89.546,12,305259.2022,25.0,2051,57.723,0.04
Cessna 172,1998,1,Piston,4,1285,31.5,4756.06,27,North America,165846.76,Cessna,20-30,1189.015,1,41461.69,4.0,2039,79.06060000000001,0.25
Airbus A320,2005,2,Turbofan,180,6300,7.21,2530.6,20,South America,115791844.44,Airbus,10-20,14.05888888888889,12,643288.0246666666,90.0,4155,32.516,0.011111111111111112
Airbus A350,2017,2,Turbofan,350,14800,6.67,4629.77,8,North America,459004077.78,Airbus,0-10,13.227914285714286,12,1311440.2222285713,175.0,4155,52.96770000000001,0.005714285714285714
Boeing 777,1995,2,Turbofan,396,15600,11.2,3924.59,30,South America,396462630.88,Boeing,20-30,9.910580808080809,12,1001168.2597979797,198.0,4132,50.445899999999995,0.005050505050505051
Boeing 737,2006,2,Turbofan,162,5700,3.33,1978.41,19,North America,78605559.01,Boeing,10-20,12.212407407407408,12,485219.5000617284,81.0,4132,23.1141,0.012345679012345678
Bombardier CRJ200,2018,2,Turbofan,50,3000,5.4,1826.3,7,Africa,20881521.64,Bombardier,0-10,36.525999999999996,12,417630.4328,25.0,2051,23.663000000000004,0.04
Boeing 737,1987,2,Turbofan,162,5700,14.41,3369.7,38,Africa,66579319.46,Boeing,30-40,20.800617283950615,12,410983.4534567901,81.0,4132,48.107,0.012345679012345678
Cessna 172,1992,1,Piston,4,1285,39.12,4028.6,33,Australia,218274.92,Cessna,30-40,1007.15,1,54568.73,4.0,2039,79.406,0.25
Boeing 777,1988,2,Turbofan,396,15600,6.22,2363.28,37,South America,388381736.17,Boeing,30-40,5.967878787878789,12,980761.9600252525,198.0,4132,29.852800000000002,0.005050505050505051
Airbus A320,2021,2,Turbofan,180,6300,5.71,4066.39,4,South America,150111642.21,Airbus,0-10,22.591055555555556,12,833953.5678333334,90.0,4155,46.3739,0.011111111111111112
Boeing 737,2022,2,Turbofan,162,5700,12.46,544.5,3,Europe,149007868.88,Boeing,0-10,3.361111111111111,12,919801.6597530864,81.0,4132,17.905,0.012345679012345678
Airbus A320,1982,2,Turbofan,180,6300,9.04,4616.1,43,Europe,79819630.91,Airbus,40+,25.645000000000003,12,443442.3939444444,90.0,4155,55.201,0.011111111111111112
Airbus A320,1982,2,Turbofan,180,6300,5.78,2764.37,43,Australia,86032657.95,Airbus,40+,15.35761111111111,12,477959.2108333334,90.0,4155,33.4237,0.011111111111111112
Boeing 737,2023,2,Turbofan,162,5700,4.13,2520.63,2,Africa,118756574.84,Boeing,0-10,15.559444444444445,12,733065.2767901234,81.0,4132,29.3363,0.012345679012345678
Airbus A320,1993,2,Turbofan,180,6300,8.15,925.38,32,North America,94786547.93,Airbus,30-40,5.141,12,526591.9329444445,90.0,4155,17.4038,0.011111111111111112
Boeing 737,2016,2,Turbofan,162,5700,3.87,2619.8,9,Asia,103925721.2,Boeing,0-10,16.171604938271606,12,641516.7975308642,81.0,4132,30.068000000000005,0.012345679012345678
Bombardier CRJ200,1993,2,Turbofan,50,3000,13.79,2785.11,32,Australia,12661354.66,Bombardier,30-40,55.702200000000005,12,253227.0932,25.0,2051,41.6411,0.04
Boeing 737,1980,2,Turbofan,162,5700,11.73,3172.37,45,Africa,57929142.73,Boeing,40+,19.58253086419753,12,357587.30080246914,81.0,4132,43.4537,0.012345679012345678
Boeing 737,2001,2,Turbofan,162,5700,14.24,1177.7,24,Europe,78521419.59,Boeing,20-30,7.269753086419754,12,484700.12092592596,81.0,4132,26.017000000000003,0.012345679012345678
Airbus A350,1989,2,Turbofan,350,14800,11.61,1609.73,36,Europe,385912032.86,Airbus,30-40,4.599228571428571,12,1102605.8081714285,175.0,4155,27.7073,0.005714285714285714
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.17,4014.64,4,Asia,26800105.73,Bombardier,0-10,80.2928,12,536002.1146,25.0,2051,47.3164,0.04
Boeing 777,2000,2,Turbofan,396,15600,11.56,920.33,25,Africa,380133728.05,Boeing,20-30,2.3240656565656566,12,959933.6566919192,198.0,4132,20.7633,0.005050505050505051
Airbus A350,2022,2,Turbofan,350,14800,4.48,692.99,3,South America,678875141.86,Airbus,0-10,1.9799714285714285,12,1939643.2624571428,175.0,4155,11.4099,0.005714285714285714
Bombardier CRJ200,1997,2,Turbofan,50,3000,13.29,4873.29,28,Africa,12418943.93,Bombardier,20-30,97.4658,12,248378.8786,25.0,2051,62.0229,0.04
Bombardier CRJ200,1992,2,Turbofan,50,3000,12.65,3318.36,33,Australia,11689188.72,Bombardier,30-40,66.3672,12,233783.77440000002,25.0,2051,45.8336,0.04
Airbus A320,1993,2,Turbofan,180,6300,4.53,4322.35,32,Africa,82395345.97,Airbus,30-40,24.013055555555557,12,457751.92205555557,90.0,4155,47.7535,0.011111111111111112
Boeing 777,1992,2,Turbofan,396,15600,9.26,2360.04,33,Australia,429278020.67,Boeing,30-40,5.95969696969697,12,1084035.4057323232,198.0,4132,32.8604,0.005050505050505051
Bombardier CRJ200,1995,2,Turbofan,50,3000,12.08,2108.16,30,Africa,10216591.18,Bombardier,20-30,42.163199999999996,12,204331.8236,25.0,2051,33.1616,0.04
Airbus A350,1997,2,Turbofan,350,14800,5.05,3432.43,28,Africa,385875152.33,Airbus,20-30,9.806942857142857,12,1102500.4352285713,175.0,4155,39.3743,0.005714285714285714
Boeing 737,1996,2,Turbofan,162,5700,4.2,2527.1,29,Asia,57118912.39,Boeing,20-30,15.599382716049382,12,352585.8789506173,81.0,4132,29.471,0.012345679012345678
Airbus A350,2009,2,Turbofan,350,14800,5.94,1968.68,16,Europe,542334604.03,Airbus,10-20,5.6248000000000005,12,1549527.4400857142,175.0,4155,25.626800000000003,0.005714285714285714
Boeing 737,1983,2,Turbofan,162,5700,9.48,3936.42,42,Australia,57330330.17,Boeing,40+,24.29888888888889,12,353890.9269753086,81.0,4132,48.8442,0.012345679012345678
Airbus A350,2013,2,Turbofan,350,14800,3.66,4218.31,12,North America,715925713.96,Airbus,10-20,12.052314285714287,12,2045502.0398857144,175.0,4155,45.84310000000001,0.005714285714285714
Airbus A320,2006,2,Turbofan,180,6300,11.05,3542.01,19,Asia,91152212.84,Airbus,10-20,19.677833333333336,12,506401.18244444445,90.0,4155,46.4701,0.011111111111111112
Boeing 777,1989,2,Turbofan,396,15600,10.47,3780.34,36,North America,408735921.94,Boeing,30-40,9.546313131313132,12,1032161.419040404,198.0,4132,48.2734,0.005050505050505051
Boeing 777,1991,2,Turbofan,396,15600,14.92,3761.52,34,Africa,374404642.48,Boeing,30-40,9.498787878787878,12,945466.2688888889,198.0,4132,52.5352,0.005050505050505051
Boeing 737,2010,2,Turbofan,162,5700,10.93,3620.13,15,South America,104301544.6,Boeing,10-20,22.346481481481483,12,643836.6950617284,81.0,4132,47.1313,0.012345679012345678
Boeing 737,2017,2,Turbofan,162,5700,12.13,4985.76,8,Africa,112186155.82,Boeing,0-10,30.776296296296298,12,692507.134691358,81.0,4132,61.98760000000001,0.012345679012345678
Boeing 777,1999,2,Turbofan,396,15600,3.03,3256.25,26,Australia,452443738.67,Boeing,20-30,8.222853535353535,12,1142534.6936111113,198.0,4132,35.5925,0.005050505050505051
Airbus A320,2008,2,Turbofan,180,6300,3.62,3990.06,17,Europe,120942860.77,Airbus,10-20,22.166999999999998,12,671904.7820555555,90.0,4155,43.520599999999995,0.011111111111111112
Bombardier CRJ200,1997,2,Turbofan,50,3000,5.84,3441.8,28,Africa,11129154.68,Bombardier,20-30,68.836,12,222583.0936,25.0,2051,40.257999999999996,0.04
Airbus A350,1997,2,Turbofan,350,14800,5.83,3577.9,28,Europe,401552852.71,Airbus,20-30,10.22257142857143,12,1147293.8648857141,175.0,4155,41.609,0.005714285714285714
Airbus A350,1994,2,Turbofan,350,14800,10.23,540.47,31,Africa,384298955.15,Airbus,30-40,1.5442,12,1097997.0147142857,175.0,4155,15.6347,0.005714285714285714
Airbus A320,1981,2,Turbofan,180,6300,14.6,4665.24,44,Europe,72238064.68,Airbus,40+,25.918,12,401322.5815555556,90.0,4155,61.2524,0.011111111111111112
Bombardier CRJ200,2011,2,Turbofan,50,3000,12.52,1561.65,14,Africa,19729733.32,Bombardier,10-20,31.233,12,394594.6664,25.0,2051,28.1365,0.04
Airbus A320,2015,2,Turbofan,180,6300,2.96,4043.7,10,South America,128037653.82,Airbus,0-10,22.465,12,711320.299,90.0,4155,43.397,0.011111111111111112
Bombardier CRJ200,1989,2,Turbofan,50,3000,6.39,2332.12,36,Asia,11555274.24,Bombardier,30-40,46.642399999999995,12,231105.4848,25.0,2051,29.7112,0.04
Boeing 777,2003,2,Turbofan,396,15600,9.83,3580.65,22,South America,542372842.39,Boeing,20-30,9.042045454545455,12,1369628.3898737372,198.0,4132,45.6365,0.005050505050505051
Boeing 777,1986,2,Turbofan,396,15600,14.19,4890.37,39,North America,463326161.21,Boeing,30-40,12.349419191919191,12,1170015.558611111,198.0,4132,63.0937,0.005050505050505051
Bombardier CRJ200,2013,2,Turbofan,50,3000,13.69,4232.57,12,North America,18286861.45,Bombardier,10-20,84.6514,12,365737.229,25.0,2051,56.015699999999995,0.04
Bombardier CRJ200,2005,2,Turbofan,50,3000,5.93,806.6,20,Asia,14418113.21,Bombardier,10-20,16.132,12,288362.26420000003,25.0,2051,13.996,0.04
Boeing 737,2016,2,Turbofan,162,5700,8.45,1261.69,9,Asia,89050678.37,Boeing,0-10,7.788209876543211,12,549695.5454938272,81.0,4132,21.0669,0.012345679012345678
Airbus A320,1998,2,Turbofan,180,6300,8.47,3484.46,27,North America,74369578.53,Airbus,20-30,19.35811111111111,12,413164.32516666665,90.0,4155,43.3146,0.011111111111111112
Airbus A320,2022,2,Turbofan,180,6300,14.21,4441.94,3,South America,156578746.7,Airbus,0-10,24.677444444444443,12,869881.9261111111,90.0,4155,58.6294,0.011111111111111112
Cessna 172,2016,1,Piston,4,1285,45.26,3280.58,9,South America,378317.14,Cessna,0-10,820.145,1,94579.285,4.0,2039,78.0658,0.25
Airbus A320,2020,2,Turbofan,180,6300,7.3,1036.17,5,Africa,141979543.4,Airbus,0-10,5.756500000000001,12,788775.2411111111,90.0,4155,17.6617,0.011111111111111112
Cessna 172,1980,1,Piston,4,1285,33.42,1957.18,45,Europe,234453.69,Cessna,40+,489.295,1,58613.4225,4.0,2039,52.9918,0.25
Boeing 737,2000,2,Turbofan,162,5700,13.19,2153.24,25,Australia,58916045.14,Boeing,20-30,13.291604938271604,12,363679.2909876543,81.0,4132,34.7224,0.012345679012345678
Cessna 172,2006,1,Piston,4,1285,18.61,3352.48,19,South America,308285.07,Cessna,10-20,838.12,1,77071.2675,4.0,2039,52.1348,0.25
Boeing 777,1980,2,Turbofan,396,15600,8.97,2239.16,45,Africa,380163634.06,Boeing,40+,5.654444444444444,12,960009.176919192,198.0,4132,31.361600000000003,0.005050505050505051
Airbus A320,1991,2,Turbofan,180,6300,6.52,3420.24,34,Asia,76608158.56,Airbus,30-40,19.00133333333333,12,425600.8808888889,90.0,4155,40.72239999999999,0.011111111111111112
Bombardier CRJ200,1999,2,Turbofan,50,3000,5.69,1466.96,26,Australia,10219432.5,Bombardier,20-30,29.3392,12,204388.65,25.0,2051,20.3596,0.04
Airbus A350,1996,2,Turbofan,350,14800,5.95,779.35,29,Australia,378978423.51,Airbus,20-30,2.226714285714286,12,1082795.4957428572,175.0,4155,13.743500000000001,0.005714285714285714
Boeing 777,2017,2,Turbofan,396,15600,12.24,3153.78,8,Europe,694881375.17,Boeing,0-10,7.96409090909091,12,1754750.9473989897,198.0,4132,43.777800000000006,0.005050505050505051
Bombardier CRJ200,2005,2,Turbofan,50,3000,3.38,704.2,20,Australia,16163377.24,Bombardier,10-20,14.084000000000001,12,323267.54480000003,25.0,2051,10.422,0.04
Cessna 172,2016,1,Piston,4,1285,26.19,1359.42,9,South America,410393.67,Cessna,0-10,339.855,1,102598.4175,4.0,2039,39.7842,0.25
Boeing 777,1986,2,Turbofan,396,15600,12.97,2924.03,39,Africa,403121136.47,Boeing,30-40,7.383914141414142,12,1017982.6678535354,198.0,4132,42.210300000000004,0.005050505050505051
Airbus A350,2019,2,Turbofan,350,14800,14.71,3726.66,6,Europe,641675310.93,Airbus,0-10,10.647599999999999,12,1833358.0312285712,175.0,4155,51.9766,0.005714285714285714
Airbus A320,2000,2,Turbofan,180,6300,5.59,4132.22,25,Asia,92962832.25,Airbus,20-30,22.95677777777778,12,516460.17916666664,90.0,4155,46.9122,0.011111111111111112
Boeing 777,2002,2,Turbofan,396,15600,12.66,3783.81,23,Africa,497343171.86,Boeing,20-30,9.555075757575757,12,1255917.1006565657,198.0,4132,50.498099999999994,0.005050505050505051
Airbus A320,2014,2,Turbofan,180,6300,3.28,4566.78,11,North America,130202016.2,Airbus,10-20,25.371,12,723344.5344444445,90.0,4155,48.9478,0.011111111111111112
Airbus A350,1994,2,Turbofan,350,14800,2.76,1635.68,31,Africa,365786824.98,Airbus,30-40,4.6733714285714285,12,1045105.2142285715,175.0,4155,19.116799999999998,0.005714285714285714
Cessna 172,1981,1,Piston,4,1285,42.8,2305.53,44,Australia,221607.91,Cessna,40+,576.3825,1,55401.9775,4.0,2039,65.8553,0.25
Boeing 737,1986,2,Turbofan,162,5700,3.43,516.27,39,South America,58357480.63,Boeing,30-40,3.1868518518518516,12,360231.3619135803,81.0,4132,8.5927,0.012345679012345678
Airbus A320,1994,2,Turbofan,180,6300,3.09,2078.83,31,Africa,72061120.55,Airbus,30-40,11.549055555555555,12,400339.5586111111,90.0,4155,23.8783,0.011111111111111112
Boeing 737,1993,2,Turbofan,162,5700,4.39,2854.61,32,Africa,68522870.74,Boeing,30-40,17.621049382716052,12,422980.68358024687,81.0,4132,32.9361,0.012345679012345678
Airbus A350,2014,2,Turbofan,350,14800,8.71,1765.75,11,Australia,583670186.98,Airbus,10-20,5.045,12,1667629.1056571428,175.0,4155,26.3675,0.005714285714285714
Boeing 737,1986,2,Turbofan,162,5700,14.05,1835.14,39,Australia,65082387.24,Boeing,30-40,11.328024691358026,12,401743.13111111114,81.0,4132,32.4014,0.012345679012345678
Cessna 172,2008,1,Piston,4,1285,47.55,2431.05,17,Australia,299590.43,Cessna,10-20,607.7625,1,74897.6075,4.0,2039,71.8605,0.25
Airbus A320,1994,2,Turbofan,180,6300,12.28,1796.2,31,Australia,80332831.11,Airbus,30-40,9.97888888888889,12,446293.5061666667,90.0,4155,30.241999999999997,0.011111111111111112
Airbus A320,1993,2,Turbofan,180,6300,5.28,1216.9,32,North America,75757720.46,Airbus,30-40,6.760555555555556,12,420876.22477777774,90.0,4155,17.449,0.011111111111111112
Boeing 737,1982,2,Turbofan,162,5700,10.46,1406.92,43,North America,72510568.38,Boeing,40+,8.684691358024692,12,447596.10111111106,81.0,4132,24.529200000000003,0.012345679012345678
Boeing 737,2017,2,Turbofan,162,5700,3.63,3797.43,8,Africa,101564410.73,Boeing,0-10,23.440925925925924,12,626940.8069753087,81.0,4132,41.6043,0.012345679012345678
Boeing 737,1997,2,Turbofan,162,5700,11.92,2209.35,28,Australia,58856737.05,Boeing,20-30,13.637962962962963,12,363313.19166666665,81.0,4132,34.0135,0.012345679012345678
Cessna 172,2008,1,Piston,4,1285,36.5,3711.69,17,Europe,277238.1,Cessna,10-20,927.9225,1,69309.525,4.0,2039,73.6169,0.25
Boeing 737,2001,2,Turbofan,162,5700,7.33,1158.92,24,Europe,64749492.74,Boeing,20-30,7.153827160493828,12,399688.22679012344,81.0,4132,18.919200000000004,0.012345679012345678
Cessna 172,1987,1,Piston,4,1285,40.0,838.31,38,Asia,221407.05,Cessna,30-40,209.5775,1,55351.7625,4.0,2039,48.3831,0.25
Boeing 777,2018,2,Turbofan,396,15600,13.57,903.67,7,South America,815617061.44,Boeing,0-10,2.2819949494949494,12,2059639.0440404043,198.0,4132,22.6067,0.005050505050505051
Bombardier CRJ200,2020,2,Turbofan,50,3000,4.63,4845.36,5,Europe,24556772.65,Bombardier,0-10,96.90719999999999,12,491135.453,25.0,2051,53.0836,0.04
Boeing 737,2010,2,Turbofan,162,5700,6.2,2929.3,15,Australia,98515352.2,Boeing,10-20,18.0820987654321,12,608119.4580246913,81.0,4132,35.493,0.012345679012345678
Boeing 777,2014,2,Turbofan,396,15600,8.66,2653.51,11,Europe,696982495.12,Boeing,10-20,6.700782828282829,12,1760056.805858586,198.0,4132,35.195100000000004,0.005050505050505051
Bombardier CRJ200,1980,2,Turbofan,50,3000,5.14,3847.47,45,Africa,11882574.52,Bombardier,40+,76.9494,12,237651.49039999998,25.0,2051,43.6147,0.04
Airbus A320,2006,2,Turbofan,180,6300,10.95,3135.01,19,North America,99596848.98,Airbus,10-20,17.416722222222223,12,553315.8276666667,90.0,4155,42.3001,0.011111111111111112
Boeing 737,1985,2,Turbofan,162,5700,9.37,4574.97,40,South America,57472491.44,Boeing,30-40,28.240555555555556,12,354768.46567901236,81.0,4132,55.1197,0.012345679012345678
Cessna 172,1994,1,Piston,4,1285,14.91,1476.49,31,South America,274007.94,Cessna,30-40,369.1225,1,68501.985,4.0,2039,29.6749,0.25
Boeing 777,1980,2,Turbofan,396,15600,10.2,2004.87,45,Africa,440465930.36,Boeing,40+,5.06280303030303,12,1112287.702929293,198.0,4132,30.2487,0.005050505050505051
Bombardier CRJ200,2002,2,Turbofan,50,3000,3.89,809.08,23,North America,13016440.82,Bombardier,20-30,16.1816,12,260328.8164,25.0,2051,11.9808,0.04
Airbus A350,2015,2,Turbofan,350,14800,3.85,4464.09,10,Australia,630162994.71,Airbus,0-10,12.754542857142857,12,1800465.6991714286,175.0,4155,48.4909,0.005714285714285714
Airbus A320,1981,2,Turbofan,180,6300,7.09,3532.64,44,Australia,89412177.11,Airbus,40+,19.625777777777778,12,496734.31727777777,90.0,4155,42.416399999999996,0.011111111111111112
Boeing 737,2020,2,Turbofan,162,5700,11.43,2747.58,5,South America,112938858.61,Boeing,0-10,16.96037037037037,12,697153.4482098765,81.0,4132,38.9058,0.012345679012345678
Boeing 737,2022,2,Turbofan,162,5700,9.71,2773.36,3,North America,131547807.56,Boeing,0-10,17.119506172839507,12,812023.5034567901,81.0,4132,37.4436,0.012345679012345678
Airbus A320,1991,2,Turbofan,180,6300,12.26,3270.27,34,Europe,89330612.36,Airbus,30-40,18.168166666666668,12,496281.17977777775,90.0,4155,44.9627,0.011111111111111112
Airbus A320,1982,2,Turbofan,180,6300,6.9,4770.89,43,Australia,71965161.45,Airbus,40+,26.504944444444448,12,399806.4525,90.0,4155,54.608900000000006,0.011111111111111112
Airbus A320,1992,2,Turbofan,180,6300,7.36,2114.62,33,Europe,79552982.75,Airbus,30-40,11.747888888888887,12,441961.0152777778,90.0,4155,28.5062,0.011111111111111112
Airbus A320,1988,2,Turbofan,180,6300,8.67,4258.57,37,North America,85615533.86,Airbus,30-40,23.65872222222222,12,475641.8547777778,90.0,4155,51.2557,0.011111111111111112
Airbus A350,1983,2,Turbofan,350,14800,2.41,1509.41,42,Australia,369266770.07,Airbus,40+,4.312600000000001,12,1055047.9144857142,175.0,4155,17.5041,0.005714285714285714
Airbus A350,1994,2,Turbofan,350,14800,11.16,2450.34,31,South America,300912425.58,Airbus,30-40,7.000971428571429,12,859749.7873714286,175.0,4155,35.6634,0.005714285714285714
Airbus A320,1982,2,Turbofan,180,6300,5.31,3514.12,43,Asia,61261718.78,Airbus,40+,19.52288888888889,12,340342.88211111113,90.0,4155,40.4512,0.011111111111111112
Bombardier CRJ200,1993,2,Turbofan,50,3000,3.99,3883.5,32,North America,14062887.19,Bombardier,30-40,77.67,12,281257.7438,25.0,2051,42.825,0.04
Bombardier CRJ200,1999,2,Turbofan,50,3000,12.29,4227.66,26,Australia,11176498.23,Bombardier,20-30,84.5532,12,223529.9646,25.0,2051,54.5666,0.04
Airbus A350,1989,2,Turbofan,350,14800,6.67,3747.59,36,Australia,361604691.61,Airbus,30-40,10.7074,12,1033156.2617428572,175.0,4155,44.145900000000005,0.005714285714285714
